"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Alpine District","01","Alpine School","104","Public","","","?","Pre - 6","400 E 300 N","ALPINE","84004","geo:40.456685,-111.770533","http://alpine.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01104","801-610-8700","801-756-8527","","1965","","Principal","Paul Finlayson","pfinlayson@alpinedistrict.org"
"Alpine District","01","American Fork High","704","Public","","","?","10 - 12","510 N 600 E","AMERICAN FORK","84003","geo:40.387215,-111.781016","http://www.afhs.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01704","801-610-8800","801-756-8575","","1959","","Principal","John Glahn","pglahn@alpinedistrict.org"
"Alpine District","01","American Fork Jr High","404","Public","","","?","7 - 9","20 W 1120 N","AMERICAN FORK","84003","geo:40.400336,-111.798734","http://www.afjh.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01404","801-610-8750","801-756-8407","","1975","","Principal","Kirk Johnson","kirkrjohnson@alpinedistrict.org"
"Alpine District","01","Aspen School","105","Public","","","?","Pre - 6","945 W 2000 N","OREM","84057","geo:40.333162,-111.719552","http://aspen.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01105","801-610-8100","801-227-8786","","1980","","Principal","Julie Van Dijk","jvandijk@alpinedistrict.org"
"Alpine District","01","Barratt School","106","Public","","","?","Pre - 6","168 N 900 E","AMERICAN FORK","84003","geo:40.380442,-111.772094","http://barratt.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01106","801-610-8701","801-756-8530","","1977","","Principal","Caroline Knadler","cknadler@alpinedistrict.org"
"Alpine District","01","Belmont School","114","Public","","","?","Pre - 6","4051 North Maple Hollow Blvd","LEHI","84043","geo:40.441109,-111.818745","","https://datagateway.schools.utah.gov/Schools/01114","801-610-8734","","","2018","","Principal","Misty Rocha","mistyrocha@alpinedistrict.org"
"Alpine District","01","Black Ridge School","115","Public","","","?","Pre - 6","9358 N. Sunset Drive","EAGLE MOUNTAIN","84005","geo:40.3820513,-111.9927305","","https://datagateway.schools.utah.gov/Schools/01115","801-610-8729","801-789-5370","","2014","","Principal","Heather Jensen","hjensen@alpinedistrict.org"
"Alpine District","01","Bonneville School","107","Public","","Title I","?","Pre - 6","1245 N 800 W","OREM","84057","geo:40.320167,-111.715885","http://bonneville.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01107","801-610-8101","801-227-8705","","1977","","Principal","Matthew Dias","mdias@alpinedistrict.org"
"Alpine District","01","Brookhaven School","203","Public","","","?","Pre - 6","7082 North Seedling Drive","EAGLE MOUNTAIN","84005","geo:40.290507,-112.043852","","https://datagateway.schools.utah.gov/Schools/01203","801-610-8733","801-610-6909","","2018","","Principal","Michael Ericksen","mericksen@alpinedistrict.org"
"Alpine District","01","Canyon View Jr High","405","Public","","","?","7 - 9","625 E 950 N","OREM","84097","geo:40.315514,-111.679934","http://cvjh.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01405","801-610-8130","801-227-8706","","1985","","Principal","Grant Cotterell","gcotterell@alpinedistrict.org"
"Alpine District","01","Cascade School","108","Public","","","?","Pre - 6","160 N 800 E","OREM","84097","geo:40.758148,-111.8835328","http://cascade.alpinedistrict.org/Cascade_Website/Cascade_Home.html","https://datagateway.schools.utah.gov/Schools/01108","801-610-8102","801-227-8709","","1968","","Principal","Darrin Johnson","djohnson@alpinedistrict.org"
"Alpine District","01","Cedar Ridge School","111","Public","","","?","Pre - 6","4501 W CEDAR HILLS DR","CEDAR HILLS","84062","geo:40.414756,-111.766286","http://cedarridge.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01111","801-610-8103","801-763-9537","","1997","","Principal","Carl Stubbs","cstubbs@alpinedistrict.org"
"Alpine District","01","Cedar Valley High","721","Public","","","?","7 - 12","1389 East Aviator Avenue","EAGLE MOUNTAIN","84005","geo:40.32104,-112.01772","","https://datagateway.schools.utah.gov/Schools/01721","801-610-8400","","","2019","","Principal","Courtney Johnson","courtneyjohnson@alpinedistrict.org"
"Alpine District","01","Cedar Valley School","112","Public","","","?","Pre - 6","40 E CENTER","CEDAR FORT","84013","geo:40.326704,-112.105955","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1222","https://datagateway.schools.utah.gov/Schools/01112","801-610-8702","801-766-1370","","1907","","Principal","John Labare III","jlabare@alpinedistrict.org"
"Alpine District","01","Centennial Elementary","226","Public","","","?","Pre - 6","450 S. 400 East","OREM","84097","geo:40.7581398,-111.8835072","www.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01226","801-610-8400","801-610-8516","","2019","","Principal","Alicia Poulton-Demill","ademill@alpinedistrict.org"
"Alpine District","01","Central School","116","Public","","","?","Pre - 6","95 N 400 E","PLEASANT GROVE","84062","geo:40.364901,-111.733926","","https://datagateway.schools.utah.gov/Schools/01116","801-610-8104","801-785-8741","","1950","","Principal","Ryan Wells","ryanwells@alpinedistrict.org"
"Alpine District","01","Cherry Hill School","118","Public","","Title I","?","Pre - 6","250 E 1650 S","OREM","84097","geo:40.266615,-111.6895","","https://datagateway.schools.utah.gov/Schools/01118","801-610-8105","801-227-8712","","1965","","Principal","Ana Rojas","arojas@alpinedistrict.org"
"Alpine District","01","Dan W. Peterson","840","Public","","","?","Pre - 12","169 N 1100 E","AMERICAN FORK","84003","geo:40.380371,-111.769623","","https://datagateway.schools.utah.gov/Schools/01840","801-756-8551","801-763-7022","","1981","","Principal","Ryan Hemming","rhemming@alpinedistrict.org"
"Alpine District","01","Deerfield School","119","Public","","","?","Pre - 6","4353 W HARVEY BLVD","CEDAR HILLS","84062","geo:40.405652,-111.762726","http://www.deerfield.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01119","801-610-8106","801-796-3145","","2002","","Principal","Nathan Webb","nathanwebb@alpinedistrict.org"
"Alpine District","01","Dry Creek School","183","Public","","","?","Pre - 6","1301 W. 1450 S.","LEHI","84043","geo:40.4139705,-111.8687955","","https://datagateway.schools.utah.gov/Schools/01183","801-610-8730","801-766-8818","","2014","","Principal","Lili Worlton","pdietz@alpinedistrict.org"
"Alpine District","01","Eagle Valley School","121","Public","","","?","Pre - 6","4475 N HERITAGE DR","EAGLE MOUNTAIN","84005","geo:40.312559,-112.011596","http://eaglevalley.alpinedistrict.org","https://datagateway.schools.utah.gov/Schools/01121","801-610-8704","801-789-8304","","2004","","Principal","Tommy Freeman","tfreeman@alpinedistrict.org"
"Alpine District","01","Eaglecrest School","120","Public","","","?","Pre - 6","2760 N 300 W","LEHI","84043","geo:40.422548,-111.8536","http://eaglecrest.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01120","801-610-8703","801-768-7039","","1997","","Principal","Brittany Cochrane","bcochrane@alpinedistrict.org"
"Alpine District","01","East Shore Online","790","Public","","","?","9 - 12","1551 W 1000 S","OREM","84058","geo:40.278504,-111.732756","","https://datagateway.schools.utah.gov/Schools/01790","801-227-2440","801-227-2447","","2012","","Principal","Matthew Rowe","mrowe@alpinedistirct.org"
"Alpine District","01","Foothill School","123","Public","","","?","Pre - 6","921 N 1240 E","OREM","84097","geo:40.314029,-111.667229","Alpineschools.org","https://datagateway.schools.utah.gov/Schools/01123","801-610-8107","801-227-2466","","1999","","Principal","Kyle Hoopes","kylehoopes@alpinedistrict.org"
"Alpine District","01","Forbes School","124","Public","","","?","K - 6","281 N 200 E","AMERICAN FORK","84003","geo:40.382456,-111.793877","http://forbes.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01124","801-610-8705","801-756-8571","","1948","","Principal","Travis Proctor","tproctor@alpinedistrict.org"
"Alpine District","01","Fox Hollow School","126","Public","","","?","Pre - 6","1450 W 3200 N","LEHI","84043","geo:40.428143,-111.873467","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1284","https://datagateway.schools.utah.gov/Schools/01126","801-610-8706","801-768-2742","","2006","","Principal","Shawn Brooks","sbrooks@alpinedistrict.org"
"Alpine District","01","Freedom School","125","Public","","","?","Pre - 6","10326 N 6800 W","HIGHLAND","84003","geo:40.420005,-111.820173","http://www.freedom.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01125","801-610-8707","801-766-5272","","2003","","Principal","Melissa Allmon","mallmon@alpinedistrict.org"
"Alpine District","01","Frontier Middle School","417","Public","","","?","7 - 9","1427 East Mid Valley Road","EAGLE MOUNTAIN","84005","geo:40.333918,-112.016258","","https://datagateway.schools.utah.gov/Schools/01417","801-610-8777","801-789-3800","","2013","","Administrator","Jarom Becar","jbecar@alpinedistrict.org"
"Alpine District","01","Greenwood School","132","Public","","Title I","?","Pre - 6","50 E 200 S","AMERICAN FORK","84003","geo:40.371981,-111.796901","http://greenwood.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01132","801-610-8708","801-756-8536","","1956","","Principal","Peter Gallant","pgallant@alpinedistrict.org"
"Alpine District","01","Grovecrest School","136","Public","","","?","Pre - 6","200 E 1100 N","PLEASANT GROVE","84062","geo:40.374673,-111.737708","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=61","https://datagateway.schools.utah.gov/Schools/01136","801-610-8109","801-785-8715","","1955","","Principal","Michael Larson","mlarson@alpinedistrict.org"
"Alpine District","01","Harbor Point Elementary","101","Public","","","?","Pre - 6","4189 S Schooner Drive","SARATOGA SPRINGS","84045","geo:40.28682,-111.87249","","https://datagateway.schools.utah.gov/Schools/01101","801-610-8400","","","2021","","Principal","Kathryn Bowman","kbowman@alpinedistrict.org"
"Alpine District","01","Harvest School","138","Public","","","?","Pre - 6","2105 N PROVIDENCE DRIVE","SARATOGA SPRINGS","84045","geo:40.400551,-111.933454","http://harvest.alpinedistrict.org/Harvest/Home.html","https://datagateway.schools.utah.gov/Schools/01138","801-610-8709","801-768-1947","","2006","","Principal","Charles Stewart","ckstewart@alpinedistrict.org"
"Alpine District","01","Hidden Hollow School","139","Public","","","?","Pre - 6","2546 E PONY EXPRESS PARKWAY","EAGLE MOUNTAIN","84005","geo:40.361974,-111.984207","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1869","https://datagateway.schools.utah.gov/Schools/01139","801-610-8721","801-789-7806","","2008","","Principal","John P. Truesdell","jtruesdell@alpinedistrict.org"
"Alpine District","01","Highland School","140","Public","","","?","Pre - 6","10865 N 6000 W","HIGHLAND","84003","geo:40.42892,-111.803673","http://www.highland.alpine.k12.ut.us/Highland/Home_of_the_Hawks.html","https://datagateway.schools.utah.gov/Schools/01140","801-610-8710","801-763-7001","","1979","","Principal","Matthew Killpack","mkillpack@alpinedistrict.org"
"Alpine District","01","Horizon School","808","Public","","","?","Pre - 12","682 W 210 N","SARATOGA SPRINGS","84045","geo:40.372558,-111.929157","","https://datagateway.schools.utah.gov/Schools/01808","801-610-8728","","","2011","","Principal","Daniel Heaps","dheaps@alpinedistrict.org"
"Alpine District","01","Lake Mountain Middle","450","Public","","","?","7 - 9","1058 South Old Farm Road","SARATOGA SPRINGS","84045","geo:40.340224,-111.919416","","https://datagateway.schools.utah.gov/Schools/01450","801-610-8400","801-610-8516","","2019","","Principal","Mark Whitaker","mwhitaker@alpinedistrict.org"
"Alpine District","01","Lakeridge Jr High","406","Public","","","?","7 - 9","951 S 400 W","OREM","84058","geo:40.2799,-111.703419","http://lakeridge.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01406","801-610-8134","801-227-2490","","1976","","Principal","Matt Elison","delison@alpinedistrict.org"
"Alpine District","01","Legacy School","146","Public","","Title I","?","Pre - 6","28 E 1340 N","AMERICAN FORK","84003","geo:40.402577,-111.797357","http://legacy.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01146","801-610-8711","801-756-8568","","1995","","Principal","Thomas Tillman","ttillman@alpinedistrict.org"
"Alpine District","01","Lehi High","708","Public","","","?","10 - 12","180 N 500 E","LEHI","84043","geo:40.390081,-111.839794","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01708","801-610-8805","801-768-7007","","1960","","Principal","Timothy Brantley","tbrantley@alpinedistrict.org"
"Alpine District","01","Lehi Jr High","408","Public","","","?","7 - 9","700 E CEDAR HOLLOW RD","LEHI","84043","geo:40.40368,-111.837402","http://lehijr.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01408","801-610-8754","801-768-7016","","1921","","Principal","Matthew King","mking@alpinedistrict.org"
"Alpine District","01","Lehi School","148","Public","","","?","Pre - 6","765 N CENTER","LEHI","84043","geo:40.39707,-111.850855","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=2682","https://datagateway.schools.utah.gov/Schools/01148","801-610-8712","801-768-7022","","1951","","Principal","Jeremy Brunner","jbrunner@alpinedistrict.org"
"Alpine District","01","Liberty Hills Elementary","113","Public","","","?","Pre - 6","3501 West 2450 North","LEHI","84043","geo:40.758148,-111.8835328","","https://datagateway.schools.utah.gov/Schools/01113","801-610-8400","801-610-8516","","2019","","Principal","Brady Farr","bfarr@alpinedistrict.org"
"Alpine District","01","Lindon School","156","Public","","","?","Pre - 6","30 N MAIN","LINDON","84042","geo:40.338753,-111.714473","http://www.lindon.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01156","801-610-8111","801-785-8749","","1983","","Principal","Scott Gonsalves","sgonsalves@alpinedistrict.org"
"Alpine District","01","Lone Peak High","709","Public","","","?","10 - 12","10189 N 4800 W","HIGHLAND","84003","geo:40.418048,-111.774711","http://lonepeak.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01709","801-610-8810","801-763-7064","","1996","","Principal","Todd Dawson","tdawson@alpinedistrict.org"
"Alpine District","01","Manila School","160","Public","","","?","Pre - 6","1726 N 600 W","PLEASANT GROVE","84062","geo:40.382278,-111.748468","http://manila.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01160","801-610-8112","801-785-8784","","1983","","Principal","Rachelle Spencer","rachellespencer@alpinedistrict.org"
"Alpine District","01","Meadow School","154","Public","","","?","Pre - 6","176 S 500 W","LEHI","84043","geo:40.385503,-111.858168","http://meadow.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01154","801-610-8713","801-768-7018","","1982","","Principal","Andrea Park","apark@alpinedistrict.org"
"Alpine District","01","Mount Mahogany School","161","Public","","Title I","?","Pre - 6","618 N 1300 W","PLEASANT GROVE","84062","geo:40.370571,-111.75842","http://mahogany.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01161","801-610-8113","801-785-8798","","2000","","Principal","John Emett","jemett@alpinedistrict.org"
"Alpine District","01","Mountain Ridge Jr High","410","Public","","","?","7 - 9","5525 W 10400 N","HIGHLAND","84003","geo:40.419834,-111.790812","http://mountainridge.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01410","801-610-8758","801-763-7018","","1993","","Principal","Kari Shirk","kshirk@alpinedistrict.org"
"Alpine District","01","Mountain Trails School","205","Public","","","?","Pre - 6","3951 NORTH WOOD ROAD","EAGLE MOUNTAIN","84005","geo:40.308272,-112.032103","http://mountaintrails.alpinedistrict.org/Mountain_Trails/Home.html","https://datagateway.schools.utah.gov/Schools/01205","801-610-8724","801-789-6080","","2010","","Principal","Adam Huffaker","adamhuffaker@alpinedistrict.org"
"Alpine District","01","Mountain View High","711","Public","","","?","10 - 12","665 W CENTER","OREM","84057","geo:40.295805,-111.711272","http://mountainview.alpinedistrict.org/index.html","https://datagateway.schools.utah.gov/Schools/01711","801-610-8160","801-227-8764","","1980","","Principal","Kevin Henshaw","khenshaw@alpinedistrict.org"
"Alpine District","01","North Point School","150","Public","","","?","Pre - 6","2300 W 1900 N","LEHI","84043","geo:40.410436,-111.887884","","https://datagateway.schools.utah.gov/Schools/01150","801-610-8722","801-768-0337","","2009","","Principal","Cassalene Lewis","clewis@alpinedistrict.org"
"Alpine District","01","Northridge School","155","Public","","","?","Pre - 6","1660 N 50 E","OREM","84057","geo:40.327999,-111.694311","http://nridge.net/","https://datagateway.schools.utah.gov/Schools/01155","801-610-8114","801-227-8726","","1980","","Principal","Kimberly Plank","kplank@alpinedistrict.org"
"Alpine District","01","Oak Canyon Jr High","412","Public","","","?","7 - 10","111 S 725 E","LINDON","84042","geo:40.335722,-111.698348","http://oakcanyon.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01412","801-610-8138","801-785-8768","","1993","","Principal","Kate Ross","kateross@alpinedistrict.org"
"Alpine District","01","Orchard School","151","Public","","","?","Pre - 6","1035 N 800 E","OREM","84097","geo:40.316383,-111.677646","http://orchard.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01151","801-610-8115","801-227-2433","","1984","","Principal","Cynthia Cardenas","ccardenas@alpinedistrict.org"
"Alpine District","01","Orem High","712","Public","","","?","10 - 12","175 S 400 E","OREM","84097","geo:40.293527,-111.684398","http://oremhighschool.com/","https://datagateway.schools.utah.gov/Schools/01712","801-610-8165","801-227-8774","","1956","","Principal","Tamara Stuart","tstuart@alpinedistrict.org"
"Alpine District","01","Orem Jr High","414","Public","","Title I","?","7 - 9","765 N 600 W","OREM","84057","geo:40.310883,-111.711316","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1994","https://datagateway.schools.utah.gov/Schools/01414","801-610-8142","801-227-8796","","1963","","Principal","Jami-Don Dawson","jdawson@alpinedistrict.org"
"Alpine District","01","Orem School","157","Public","","","?","Pre - 6","450 W 400 S","OREM","84058","geo:40.290636,-111.706788","http://oremelem.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01157","801-610-8116","801-227-8729","","1973","","Principal","Ryan Rocque","rrocque@alpinedistrict.org"
"Alpine District","01","Parkside Elementary","216","Public","","Title I","?","Pre - 6","658 W 150 North","OREM","84057","geo:40.30004,-111.71156","","https://datagateway.schools.utah.gov/Schools/01216","801-610-8120","801-227-8738","","2021","","Principal","John Shelton","jshelton@alpinedistrict.org"
"Alpine District","01","Pleasant Grove High","716","Public","","","?","10 - 12","700 E 200 S","PLEASANT GROVE","84062","geo:40.360134,-111.725441","http://www.pghs.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01716","801-610-8170","801-785-8744","","1959","","Principal","John Hanks","jhanks@alpinedistrict.org"
"Alpine District","01","Pleasant Grove Jr High","416","Public","","","?","7 - 9","810 N 100 E","PLEASANT GROVE","84062","geo:40.371557,-111.738302","http://www.pgjr.alpine.k12.ut.us/pgcms/index.php","https://datagateway.schools.utah.gov/Schools/01416","801-610-8146","801-785-8743","","1975","","Principal","Wade Lott","wlott@alpinedistrict.org"
"Alpine District","01","Polaris High School","782","Public","","","?","9 - 12","708 So Utah Valley Drive","AMERICAN FORK","84003","geo:40.36176,-111.78251","www.polaris.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01782","801-610-8180","801-227-2447","","2012","","Principal","Hannah Figueiredo","hannahfigueiredo@alpinedistrict.org"
"Alpine District","01","Pony Express School","153","Public","","","?","Pre - 6","3985 E SMITH RANCH RD","EAGLE MOUNTAIN","84005","geo:40.358922,-111.96694","http://ponyexpress.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01153","801-610-8714","801-789-2604","","2002","","Principal","Peter Swiderski","pswiderski@alpinedistrict.org"
"Alpine District","01","Ridgeline School","165","Public","","","?","Pre - 6","6250 W 11800 N","HIGHLAND","84003","geo:40.446513,-111.808099","http://www.ridgeline.alpine.k12.ut.us/Ridgeline_Elementary/Raccoons_Rock.html","https://datagateway.schools.utah.gov/Schools/01165","801-610-8715","801-492-0263","","2006","","Principal","Timothy Pead","tpead@alpinedistrict.org"
"Alpine District","01","River Rock School","201","Public","","","?","Pre - 6","520 North 1700 West","LEHI","84043","geo:40.3937097,-111.8764976","www.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01201","801-610-8731","801-768-7060","","2015","","Principal","Brian Ridge","bridge@alpinedistrict.org"
"Alpine District","01","Riverview School","219","Public","","","?","Pre - 6","273 W ASPEN HILLS BLVD","SARATOGA SPRINGS","84045","geo:40.391566,-111.92988","","https://datagateway.schools.utah.gov/Schools/01219","801-610-8726","801-766-2252","","2011","","Principal","William Shumaker","wshumaker@alpinedistrict.org"
"Alpine District","01","Rocky Mountain School","162","Public","","","?","Pre - 6","55 S 500 E","LINDON","84042","geo:40.3366,-111.702467","http://www.rockymountainelementary.org/","https://datagateway.schools.utah.gov/Schools/01162","801-610-8117","801-796-3133","","1996","","Principal","Marion Liisa Roden","mroden@alpinedistrict.org"
"Alpine District","01","Sage Hills School","167","Public","","","?","Pre - 6","3033 SWAINSON AVE","SARATOGA SPRINGS","84045","geo:40.306648,-111.895001","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=2553","https://datagateway.schools.utah.gov/Schools/01167","801-610-8723","801-341-5915","","2009","","Principal","Carla Jensen","cjensen@alpinedistrict.org"
"Alpine District","01","Saratoga Shores School","163","Public","","","?","Pre - 6","1415 S PARKSIDE DR","SARATOGA SPRINGS","84045","geo:40.335594,-111.920612","http://saratogashores.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01163","801-610-8716","801-766-6443","","2004","","Principal","Cynthia Gregson","cgregson@alpinedistrict.org"
"Alpine District","01","Sego Lily School","164","Public","","","?","Pre - 6","550 E 900 N","LEHI","84043","geo:40.398257,-111.841747","http://segolily.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01164","801-610-8717","801-768-7034","","1957","","Principal","Helena Mueller","hmueller@alpinedistrict.org"
"Alpine District","01","Serv By Appt","850","Public","","","?","Pre - 3","575 N 100 E","AMERICAN FORK","84003","geo:40.388315,-111.796538","","https://datagateway.schools.utah.gov/Schools/01850","801-756-8400","","","2002","","Director","",""
"Alpine District","01","Sharon School","168","Public","","Title I","?","Pre - 6","525 N 400 E","OREM","84097","geo:40.30705,-111.687102","http://sharon.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01168","801-610-8119","801-227-8735","","1955","2023","Principal","Alicia Poulton-Demill","ademill@alpinedistrict.org"
"Alpine District","01","Shelley School","170","Public","","","?","Pre - 6","602 N 200 W","AMERICAN FORK","84003","geo:40.388687,-111.802674","http://shelley.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01170","801-610-8718","801-763-7020","","1967","","Principal","Matthew Goebel","mgoebel@alpinedistrict.org"
"Alpine District","01","Silver Lake Elementary","152","Public","","","?","Pre - 6","5069 Golden Eagle Road","EAGLE MOUNTAIN","84005","geo:40.350111,-111.96156","","https://datagateway.schools.utah.gov/Schools/01152","801-640-8400","801-610-8516","","2020","","Principal","Joel Miller","joelmiller@alpinedistrict.org"
"Alpine District","01","Skyridge High School","785","Public","","","?","9 - 12","3000 North Center Street","LEHI","84043","geo:40.4253761,-111.8519183","shs.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01785","801-610-8820","","","2016","","Principal","John Wallwork","johnwallwork@alpinedistrict.org"
"Alpine District","01","Snow Springs School","172","Public","","","?","Pre - 6","850 S 1700 W","LEHI","84043","geo:40.377807,-111.87769","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1323","https://datagateway.schools.utah.gov/Schools/01172","801-610-8719","801-768-7049","","2000","","Principal","Jory Schmidt","jschmidt@alpinedistrict.org"
